pic_id,latitude,longitude,county,region,country
39811969101,51.533547,-0.127592,Greater London,England,United Kingdom
41357339252,34.328127,133.843688,Greater London,Kagawa Prefecture,Japan
27893382227,40.748333,-74.004120,Manhattan,New York,United States
24813464557,47.614408,-117.398968,Spokane,Washington,United States
42127403594,14.566720,120.993118,Metropolitan Manila,National Capital Region,Philippines
25881085408,43.773108,11.256566,Florence,Tuscany,Italy
42206720422,42.113876,3.140223,Gerona,Catalonia,Spain
42669931412,54.692375,25.271816,Vilnius City Municipality,Vilnius County,Lithuania
41006888094,47.499126,19.043930,Budapest X.,Budapest,Hungary
40269434121,45.523465,-73.580138,Montreal,Quebec,Canada
36825730180,43.095467,-79.072551,Niagara,Ontario,Canada
40396601805,37.570382,127.001245,Jongno-Gu,Seoul,South Korea
27077922707,37.661910,-118.827900,Mono,California,United States
40667521724,69.797626,23.495571,Alta Kommune,Finnmark,Norway
41788469994,45.319453,-85.262274,Charlevoix,Michigan,United States
39033101395,51.207622,3.227566,Bruges,West-Vlaanderen,Belgium
40292510300,48.234733,16.331505,Vienna,Vienna,Austria
38779330234,28.419280,-81.581274,Orange,Florida,United States
40922581622,34.018696,35.647544,Keserwan,Mount Lebanon,Lebanon
29000020398,40.897911,-75.892632,Carbon,Pennsylvania,United States
42250288481,52.090617,5.344161,Woudenberg,Utrecht,Netherlands
26869478157,45.165353,-85.246288,Antrim,Michigan,United States
26160908188,35.700361,139.842488,Edogawa-ku,Tokyo Prefecture,Japan
40568686514,40.760585,-73.987641,Manhattan,New York,United States
26991739078,50.625799,5.566892,Liege,Liege,Belgium
39347720764,25.114722,55.190833,Dubai,Dubai,United Arab Emirates
28865407498,40.786796,-3.341656,Guadalajara,Castille la Mancha,Spain
25781664598,49.297206,-123.131943,Greater Vancouver,British Columbia,Canada
28311738208,25.043484,121.506407,Wanhua District,Taipei City,Taiwan
41771282954,48.842125,2.321338,Paris,Ile-de-France,France
26846217007,39.580372,3.395526,Balearic Islands,Balearic Islands,Spain
26819992237,51.910536,4.483386,Rotterdam,South Holland,Netherlands
40388188251,51.046208,-0.044986,West Sussex,England,United Kingdom
40837367451,44.438146,26.096466,West Sussex,Bucharest,Romania
40897966125,40.580421,-3.329372,Madrid,Madrid,Spain
40307141390,51.451867,20.475082,Opoczno County,Lodz,Poland
24580066857,51.479378,-0.306758,Greater London,England,United Kingdom
42162294614,68.104169,13.288049,Flakstad Kommune,Nordland,Norway
40857285045,40.897927,-75.892395,Carbon,Pennsylvania,United States
40848936432,56.009085,-4.579110,West Dunbartonshire,Scotland,United Kingdom
38845276324,53.371321,-3.190219,Merseyside,England,United Kingdom
28196041309,39.391907,-0.374263,Valencia,Valencia,Spain
40956637404,-0.226964,-78.518786,Quito,Pichincha Province,Ecuador
38903267714,45.067777,7.682447,Turin,Piedmont,Italy
27357283627,39.339350,3.053665,Balearic Islands,Balearic Islands,Spain
40435119365,64.420546,-14.859695,Balearic Islands,Auster-Skaftafellssysla,Iceland
25716239898,40.897830,-75.892674,Carbon,Pennsylvania,United States
41813831882,44.624458,-124.060664,Lincoln,Oregon,United States
40044636080,35.017025,135.671644,Lincoln,Kyoto Prefecture,Japan
25187018057,45.760547,4.833565,Rhone,Rhone-Alpes,France
41341645325,-32.916719,151.801228,Newcastle,New South Wales,Australia
41843487222,48.338713,8.154250,Ortenaukreis,Baden-Wurttemberg,Germany
26001924248,57.135569,-2.095438,Aberdeen City,Scotland,United Kingdom
