pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
40048290155,Panasonic,DMC-GX7,0.0008,8.0,Aperture-priority AE,200.0,Center-weighted average,"Off, Did not fire",60.0,sRGB,OLYMPUS M.60mm F2.8 Macro
41156234654,Panasonic,DMC-GX7,0.0008,8.0,Aperture-priority AE,200.0,Center-weighted average,"Off, Did not fire",60.0,Uncalibrated,OLYMPUS M.60mm F2.8 Macro
28637120398,FUJIFILM,X-T2,30.0,3.6,Aperture-priority AE,100.0,Multi-segment,No Flash,18.0,Uncalibrated,XF18-55mmF2.8-4 R LM OIS
42887831161,Canon,Canon EOS REBEL T3i,8.0,4.0,Manual,100.0,Multi-segment,"Off, Did not fire",25.0,Uncalibrated,18-270mm
41275637915,Canon,Canon EOS REBEL T3i,8.0,4.0,Manual,100.0,Multi-segment,"Off, Did not fire",25.0,sRGB,18-270mm
27948921897,Canon,Canon EOS 750D,0.6,4.0,Shutter speed priority AE,100.0,Spot,"Off, Did not fire",27.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
39024015805,Canon,Canon EOS 70D,5.0,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF70-200mm f/4L IS USM
41440652825,SONY,DSC-H50,10.0,5.6,Shutter speed priority AE,80.0,Multi-segment,"Off, Did not fire",10.7,sRGB,EF70-200mm f/4L IS USM
42081204854,NIKON CORPORATION,NIKON D60,30.0,8.0,Manual,100.0,Multi-segment,No Flash,10.0,sRGB,EF70-200mm f/4L IS USM
42254819734,FUJIFILM,X100F,0.013333333333333334,3.6,Aperture-priority AE,100.0,Multi-segment,No Flash,10.0,sRGB,EF70-200mm f/4L IS USM
42054368685,NIKON CORPORATION,NIKON D7500,25.0,2.8,Manual,3200.0,Spot,"Off, Did not fire",11.0,sRGB,Tokina AT-X 116 PRO DX II 11-16mm F2.8
42630624722,Canon,Canon EOS 760D,30.0,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",32.0,Uncalibrated,EF24-105mm f/4L IS USM
42552287212,FUJIFILM,GFX 50S,20.0,16.0,Aperture-priority AE,100.0,Multi-segment,No Flash,23.0,Uncalibrated,GF23mmF4 R LM WR
41425216335,Canon,Canon EOS 6D,15.0,5.6,Manual,800.0,Multi-segment,"Off, Did not fire",35.0,Uncalibrated,EF24-105mm f/4L IS USM
42190908941,Canon,Canon EOS 5D Mark IV,30.0,9.0,Manual,400.0,Partial,"Off, Did not fire",15.0,sRGB,EF15mm f/2.8 Fisheye
42058099051,PENTAX,PENTAX K-5 II,20.0,9.0,Manual,100.0,Multi-segment,"Off, Did not fire",21.0,sRGB,SIGMA 17-50mm F2.8 EX DC HSM
39471624852,Canon,Canon EOS 70D,10.0,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",17.0,sRGB,17-50mm
